danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.705,0.568,-5.32,0.0439,0.614,0.0,0.0774,0.354,150.743,5hDjdcUB4Ex143S8BSVsFG,160084
0.668,0.618,-7.148,0.173,0.108,0.0,0.0951,0.812,170.023,3cBpzG7DTbm5w85KfuJUo7,170160
0.552,0.517,-7.906,0.0245,0.0211,0.00612,0.152,0.105,79.512,164LL9rTyEZ6DF0KMgXxsJ,220798
0.729,0.646,-7.953,0.0686,0.0248,0.0,0.168,0.54,125.007,7bal8JfR3tSB9Qgf7wAGPL,148800
0.643,0.363,-11.738,0.0767,0.69,5.17e-05,0.115,0.23,139.865,3rWDp9tBPQR9z6U5YyRSK4,174783
0.509,0.619,-4.102,0.0391,0.355,0.0,0.0739,0.544,155.955,0JIhRhZPF5j5dx0FGqTWxy,172547
0.463,0.827,-4.43,0.219,0.216,0.0,0.145,0.399,173.719,6bB4AiK5tH13695FcNGjDY,237033
0.662,0.488,-6.894,0.0682,0.782,0.0,0.102,0.817,117.913,0mflMxspEfB0VbI1kyLiAv,182347
0.364,0.294,-6.578,0.0504,0.833,0.0,0.264,0.125,79.477,2VFetGqLYq0Pc8ZtRYCaeL,227749
0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,6BePGk3eCan4FqaW2X8Qy3,172253
0.534,0.696,-5.211,0.0694,0.316,0.0,0.248,0.251,168.149,4Wu62DoQg1ECGlDKDfo30R,160714
0.679,0.548,-7.495,0.0298,0.234,0.0,0.189,0.413,115.954,3K00Ib1shkOEiAXU5pec6e,155909
0.306,0.121,-17.118,0.0396,0.863,0.0,0.167,0.238,159.08,1veHwv1HPwzOvlhs5jPxeP,138375
0.569,0.808,-5.203,0.171,0.091,0.0,0.173,0.449,146.902,7AZzCQ6S8HXLFBXsqH2HWE,152308
0.737,0.858,-4.1,0.0648,0.0537,0.0,0.0825,0.65,126.254,7Kbw2fTMOU43MrqXdGzroh,158064
0.467,0.624,-8.511,0.0508,0.143,0.000899,0.145,0.31,141.889,6BQrmjAgPfPTwILoFEK3Hd,225947
